gene_id	gene_name	F145700	F145701	F145702	F145703	F145704	F145705	F145706	F145707	F145708	F145709	F145710	F145711	F145712	F145713	F145714	F145715	F145716	F145717	F145718	F145719	F145720	F145721	F145722	F145723	F145724	F145725	F145726	F145727	F145728	F145729
ENSG00000000003	TSPAN6	53022.3182530909	5374.20364253791	20480.5856225643	3930.4699785903	16675.7045275551	7021.1119765609	20399.5586160605	7952.55499803343	14803.561611697	9921.69745321894	6475.30070418798	7668.32252250621	4672.24575910899	5474.02838506057	26117.7917407892	13648.0911925942	8377.09654014051	20642.8497872492	8318.71571028621	10579.0074553985	7240.89847559465	9729.54703652476	8396.79977707182	3500.37746786209	3963.87263847309	16366.4564694997	23577.7902073186	10814.3075648654	8594.65541570812	7651.20666475545
ENSG00000000005	TNMD	4.19840854794815	0	0	0	0	0	0.958561651114183	0.939218613229245	0.921211999525688	0	1.97730162377903	0	0.975401850313107	0	3.88373377965069	2.82340758329789	0.940083475608827	4.6775057397123	0	0.928897438095824	0.970056538658487	1.88681576156103	0	0.967138834756686	0	0	1.84915790530257	0	0	0
ENSG00000000419	DPM1	10753.7381486823	987.309858754028	3732.62795567732	1115.44570946414	3274.35566770265	1038.86880662262	3108.85745386519	1255.42954911191	2412.66794109274	1417.22449793016	1545.97987465231	2550.65828344564	1091.67298685094	1411.75473369932	6573.37528365355	2341.22875520981	1482.00539650957	3555.48828123982	1364.65429527092	2223.0772841812	2200.33271134767	2047.13560094234	1648.85901736765	859.224926410938	1051.86071728756	2168.31742104201	4355.98675176248	1895.83108349254	1665.84771157369	1480.23845706647
ENSG00000000457	SCYL3	10819.8488993897	994.626190646247	4047.24816213794	1030.78589999721	3419.38831845997	831.068888025022	2862.36572364672	1291.39851291578	2006.23862941848	1300.0685320102	1088.00339347367	1706.90035594589	897.189050452434	1082.44797012476	5348.10382006239	1924.67738726385	1364.96891289646	3113.61556708223	1020.86079827551	1506.35798270219	1433.18067226491	1575.20170223871	1476.1938640637	630.129060997374	796.067400040947	1987.05833203678	3520.38380986866	1661.73137724443	1414.28214485805	1260.65522125479
ENSG00000000460	C1orf112	2346.06858875968	196.987302979683	772.586399995503	231.050264053357	560.296746411563	254.374750527563	427.456795505324	264.339859096727	208.024784692112	280.653617423605	287.821883068492	326.73451965489	167.363458439923	245.39815499059	1174.64028394704	201.285965204341	165.451127361529	468.604632132398	131.62184629616	239.43891250119	520.037508994322	492.046000139614	233.635764175052	126.162416169559	189.992418199571	485.773782016583	706.906978855489	332.286903942441	354.581956432181	482.184429238306
ENSG00000000938	FGR	15.1277340596432	1.10038724145511	9.19340572399833	8.47372971379591	7.01533089877526	0	7.29210681650765	6.43122681517724	9.25642063455051	8.36122838913776	1.08673799871516	12.0189503131806	10.0531840896066	2.18473002761413	15.3779334268262	5.31725661539232	3.19129253381744	10.8071898853423	2.72416903370584	5.42181069698367	3.18066193659081	2.73906500400108	3.63736716340306	0	4.3091509081808	7.41176154956872	7.18333692690107	6.42457339769702	2.11175587394824	4.23940379908442
ENSG00000000971	CFH	34423.0908492199	2938.85481807989	12903.3271271204	5638.71920818314	10246.273484175	2968.37301322929	10182.9347718483	4027.8082752245	7906.35840159147	4728.82902206127	5105.19152394747	15154.7738355486	5059.1591624455	5940.4573901169	29032.7853799952	5133.89937549471	4231.72511164471	12764.7807366226	2863.3657751052	4059.62595760128	7696.15671590782	7642.67756462798	6924.6100722158	3540.71132550789	4334.71325386773	12514.6435627495	15832.417587982	11625.4910549171	10326.3384041263	8751.23917858203
ENSG00000001036	FUCA2	16402.3578243767	1439.81901185504	6113.1781228463	2742.40849617939	5365.02854431925	1359.10965423511	4230.46284935818	1660.4712487642	2724.64779246209	2146.54312371287	1926.65564370569	4278.4374340948	1723.77798829406	2662.29573232621	10633.1397053715	2346.42997831142	1567.33758153298	4115.00212983385	1227.20844960498	1796.64490250502	3275.05292417407	2420.14860985134	2273.49334257955	1237.32635953716	1525.75389243334	3631.67696201988	5830.85733985729	3364.69907111114	3562.80252850266	3158.86879914372
ENSG00000001084	GCLC	48903.0629915471	4088.03765973779	14006.7864584957	2968.7406553814	11345.3058109746	5551.24779241191	13215.7096146422	5892.17777573304	7648.60240678225	6280.99127944273	6810.27587401768	5948.14737013356	3267.52277099407	2825.99150843486	21612.7968431217	9789.70970094462	5636.7535345703	13570.3338806874	2914.03483308515	7463.66357759898	4028.90961296015	4234.47863513048	2467.21529295289	1098.28331726533	2480.14929523831	5638.06404281337	9149.64304978793	5210.92925509795	3590.21817863076	3745.33556864881
ENSG00000001167	NFYA	5591.89241417618	448.153247058818	1965.03363541491	812.453297327226	1266.27764177044	384.930949973137	1355.08896054518	499.126027108428	775.798385293566	586.461021305102	578.955986631138	1483.98856274415	662.358331603668	905.4264347897	3983.40680678123	475.33121233953	448.014946647242	979.217611783232	227.532115669261	359.952251381042	850.871047932449	720.993839183901	850.070788775812	467.354919183078	524.025109838682	1046.30104527764	1835.33368881802	1149.29109844673	1118.58278517893	1097.75402192848
ENSG00000001460	STPG1	26333.8009713475	2287.55563131134	8729.98548134082	1832.3612622233	7359.85935024856	2564.38744346564	7942.01475645453	2926.11866583114	4073.02191072371	3486.50915879287	2475.9458887166	1727.77641151355	1620.762250975	1293.58350685523	10510.1229942953	4026.15121343096	2586.12936657245	5096.93031150677	1679.55361923779	2680.30190664351	1804.96504765415	2363.15844076306	2134.10825786763	708.13960268679	1101.11955499161	3980.16338133163	5500.48755016765	2540.24224744074	1829.03254434944	2036.81673578802
ENSG00000001461	NIPAL3	19996.9018536925	1814.63135011123	7133.32009049948	2648.90467221513	5535.51021745026	1507.73203089303	5285.99266500531	1735.34259358352	2184.30710160831	1940.80571036697	2600.42246724983	5360.24060032551	1866.65812001783	3144.62842705173	14698.2863327323	2095.06759554455	1547.91442519397	3080.84750156642	1107.41791611398	1699.70507410829	3790.68573027006	2644.06444958462	2747.84886085428	1811.65852611019	2130.72471693961	4088.19292859041	6456.8196192993	3886.96603594732	3605.90110185808	3567.99444370778
ENSG00000001497	LAS1L	15787.9006692882	1071.48911273929	4808.74428118251	1242.74815629828	3562.37761647499	1031.9378511073	3193.94687938773	1095.45680307877	1280.14598739316	1421.75995436047	1515.32897605004	1866.44907117843	888.257229987838	1046.23149166186	6390.07426402078	1448.44728749837	1065.98315586433	2245.14258462255	503.710360099328	1015.16141984352	1939.61806560939	1679.89474402167	1260.11298128608	648.208161349827	1016.6470265991	2044.51820328598	2579.63709222518	1494.02839507741	1222.42096758329	1410.29496945356
ENSG00000001561	ENPP4	29858.0608162458	3157.23069096449	11660.4620494383	1791.08223688006	8478.12584539017	3209.45234142269	9106.03882205888	4491.72620281037	7766.42807700622	4142.76333317547	3123.49051199441	2929.08236572529	2144.31486766792	1867.17774603431	12203.5796642933	7564.15901662459	4664.18038162444	12385.6310518737	3065.52359190357	5939.37778250401	1755.72269542418	3092.22004446265	3001.80248194724	980.374652840766	1250.26395176255	5472.10575904107	6575.55156403148	3836.67382690063	2784.64935367067	2505.24232500783
ENSG00000001617	SEMA3F	16115.0276929187	1285.80228688877	7113.3424109152	2122.6484436134	3947.10471798269	956.39881620652	3601.38803221719	1922.58869608925	2373.97690504529	1865.23493436428	1864.24757059521	5803.36048479051	2511.36137451328	3260.23544782546	14321.2386258259	1542.41982951813	1293.67740711737	3332.34730152885	681.825784676412	1347.67231670901	3871.57994813086	2328.58346301924	4038.36547925045	2104.80067859181	1961.05595812929	3387.38782780395	4530.32262002728	4316.22757450429	3496.00772618567	3621.55112538677
ENSG00000001626	CFTR	10257.6271968293	731.355090498281	2744.67077375557	1487.96533513761	2318.58073490858	624.608967523781	1800.65171018936	632.175402648461	1095.12532587003	687.895925189371	2334.64530237731	5739.33009739765	2373.87190282691	3183.51501508516	15057.4630719312	864.725444805786	726.999211017303	1654.55922975954	417.848928286066	651.452146945446	3294.75295527111	2288.40562995144	2786.26616118322	1416.19917640622	1698.67714647351	3365.11758079871	4394.63896825418	3181.04308833722	3480.63448177281	3522.00036781571
ENSG00000001629	ANKIB1	16683.1350051434	1391.57192030703	5171.88372500639	1664.98435830156	3796.3836920996	1524.7753262081	3722.52386985123	1658.01011145559	1886.07414547051	1666.71644428687	1816.68968525745	3372.02038897247	1463.96663582133	2065.27913858495	11311.5637235865	1535.50309041854	988.501493337771	2909.68514404481	684.972360608864	1091.23033568075	2630.93189286578	1791.72523064198	1905.02561722287	1370.7679772662	1259.31764598458	2661.15069409379	4061.05182734921	2327.06180570911	2127.43730836304	2266.90260365331
ENSG00000001630	CYP51A1	16747.5768973281	1092.48781958102	4789.51861089559	5218.94956662789	6023.28265810207	1207.94697296399	4353.5908062411	1836.23433767883	2588.16997266613	2036.49686999079	2250.2058926134	14064.3792827814	3169.05883883146	7143.35561021482	24375.2830467993	1431.02971803913	1316.22896986858	5527.39748166503	862.447202679796	1334.31255865052	5118.61383840438	3340.23466571373	3766.70975187323	2525.07708075036	2540.78458704763	3839.95889831431	8190.68097589804	4979.15267410636	5166.15310276339	5193.47889073166
ENSG00000001631	KRIT1	10037.4776827084	714.966502886296	2739.59509867017	691.234525645085	2565.74788356104	658.788287973025	2178.86987936559	686.463750245588	916.749637054065	931.306269633226	958.863603751213	1452.55201193742	756.319686431794	599.090002845772	4432.55050260206	1084.24632368986	689.212068051587	1200.45358307518	319.541742820329	545.16106620951	786.265686702567	947.246451439403	718.587581259238	386.242057693663	572.394210412812	1125.81400784959	1653.59515979815	896.875579657257	878.375914726113	1013.48296324115
ENSG00000002016	RAD52	1017.7967976699	91.0694263444625	450.01078182289	118.454565047783	279.102724996558	54.3513631606748	292.555057965276	107.91709749785	191.566087140202	127.365996700038	125.442029218684	264.478194828525	139.215392550259	96.4703508763841	551.2249821536	152.515396820447	86.4717272134947	212.645789529859	134.316913872979	82.8443420204668	193.370093681948	238.505255166057	176.229073304992	89.0369484912319	158.555689217929	233.677692621515	354.494948648675	244.849723633055	131.678245592128	92.3588453651353
ENSG00000002079	MYH16	136.597575511315	14.2831059022275	63.90217688782	29.2007108186015	53.4699883952601	6.35082836228259	69.4472038917154	10.8004933363122	23.623022619569	24.5068649623904	7.6931247417838	202.0749036517	59.4173299609919	292.919548868023	661.877414387416	2.057555090457	10.3358180193344	12.2338286556487	17.432358873199	4.67178931912739	141.052768450093	30.5434774879382	178.216055579877	98.1194592381885	53.7522099731812	39.9617772180962	124.87810409034	74.9577965964847	39.354770061853	92.2199437034603
